id,name,alt,path
785,group-of-students,Three students standing together in business casual attire.,Images/900x675-infoboxes/group-of-students.jpg
786,Harry-PetrakosMarriot-900x675,Harry Petrakos headshot next to image of Marriott Building,Images/900x675-infoboxes/Harry-PetrakosMarriot-900x675.jpg
787,Jazz-student-performing-infobox,Jazz student performing,Images/900x675-infoboxes/Jazz-student-performing-infobox.jpg
788,Jazz-students-performing-on-stage-infobox,Jazz students performing on stage,Images/900x675-infoboxes/Jazz-students-performing-on-stage-infobox.jpg
789,Jim-Radous-Executive-In-Residence-900x675,Jim Radous speaking to a business seminar,Images/900x675-infoboxes/Jim-Radous-Executive-In-Residence-900x675.jpg
790,Jin-Ah-Kim,Jin Ah Kim,Images/900x675-infoboxes/Jin-Ah-Kim.jpg
791,Jonas-Falk-and-Justin-Rolls,Jonas Falk and Justin Rolls,Images/900x675-infoboxes/Jonas-Falk-and-Justin-Rolls.jpg
792,Junior-Senior-Visit-Day-Spring18-Infobox,Junior Senior Visit Day,Images/900x675-infoboxes/Junior-Senior-Visit-Day-Spring18-Infobox.jpg
793,La-Vonne-Downey-Associate-Professor-of-Public-Administration-infobox,"La Vonne Downey, Associate Professor of Public Administration",Images/900x675-infoboxes/La-Vonne-Downey-Associate-Professor-of-Public-Administration-infobox.jpg
794,Laughing-woman-with-instrument-case,Laughing woman with instrument case,Images/900x675-infoboxes/Laughing-woman-with-instrument-case.jpg
795,leadership,Two gentlemen having a conversation,Images/900x675-infoboxes/leadership.jpg
796,Leo-Solarte-with-boxing-gloves,Leo Solarte with boxing gloves,Images/900x675-infoboxes/Leo-Solarte-with-boxing-gloves.jpg
797,line-of-students-at-graduation,Students at graduation,Images/900x675-infoboxes/line-of-students-at-graduation.jpg
798,Lois-Kahan-Shana-Alvi,Lois Kahan and Shana Alvi,Images/900x675-infoboxes/Lois-Kahan-Shana-Alvi.jpg
799,Man-in-blue-shirt-reading-infobox,Man in blue shirt reading,Images/900x675-infoboxes/Man-in-blue-shirt-reading-infobox.jpg
800,Man-in-RU-hat-at-protest-infobox,Man in RU hat at protest,Images/900x675-infoboxes/Man-in-RU-hat-at-protest-infobox.jpg
801,mbire-2019-sponsorsINFO,sponsor logos: Duke Realty | Leopardo | Pike Street Properties,Images/900x675-infoboxes/mbire-2019-sponsorsINFO.gif
802,om_42-summer_session_2018-Summer-infobox-2,Student on Laptop - RU Summer Session,Images/900x675-infoboxes/om_42-summer_session_2018-Summer-infobox-2.jpg
803,om_42-Summer-Session-2018-summer-english-institute-infobox,City of Chicago at sunset,Images/900x675-infoboxes/om_42-Summer-Session-2018-summer-english-institute-infobox.jpg
804,Opera-students-performing-infobox,Opera students performing,Images/900x675-infoboxes/Opera-students-performing-infobox.jpg
805,Pablo-Suaste-Cherizola,Pablo Suaste Cherizola,Images/900x675-infoboxes/Pablo-Suaste-Cherizola.jpg
806,Pat-Harris,Pat Harris,Images/900x675-infoboxes/Pat-Harris.jpg
807,People-on-bikes-near-Buckingham-Fountain-Life-in-The-Loop,People on bikes near Buckingham Fountain - Life in The Loop,Images/900x675-infoboxes/People-on-bikes-near-Buckingham-Fountain-Life-in-The-Loop.jpg
808,Percussion-student-performing-infobox,Percussion student performing,Images/900x675-infoboxes/Percussion-student-performing-infobox.jpg
809,pharmacy-students-help-puerto-rico-colleagues,,Images/900x675-infoboxes/pharmacy-students-help-puerto-rico-colleagues.jpg
810,Pharmacy-students-taking-oath-infobox,Pharmacy students taking oath,Images/900x675-infoboxes/Pharmacy-students-taking-oath-infobox.jpg
811,pharmacy-students,pharmacy students in lab coats,Images/900x675-infoboxes/pharmacy-students.jpg
812,Piano-and-hands-AcademicAndCreative-CCPA,Piano and hands-AcademicAndCreative-CCPA,Images/900x675-infoboxes/Piano-and-hands-AcademicAndCreative-CCPA.jpg
813,plus,plus loans icon,Images/900x675-infoboxes/plus.png
814,Pola-Henderson_infobox,Roosevelt alum Pola Henderson standing in a public square,Images/900x675-infoboxes/Pola-Henderson_infobox.jpg
815,President-Ali-Malekzadeh-AUD,Roosevelt University president Ali Malekzadeh on the marble steps of the Auditorium Building,Images/900x675-infoboxes/President-Ali-Malekzadeh-AUD.jpg
816,President-Ali-Malekzadeh,President Ali Malekzadeh,Images/900x675-infoboxes/President-Ali-Malekzadeh.jpg
817,president-krueger-malekzadeh-photo,Mablene Krueger and Ali Malekzadeh,Images/900x675-infoboxes/president-krueger-malekzadeh-photo.png
818,private,private loans icon,Images/900x675-infoboxes/private.png
819,Professional-Mentoring-2,Professional Mentoring,Images/900x675-infoboxes/Professional-Mentoring-2.jpg
820,professional-real-estate-associations,"CCIM Institute, Commercial Real Estate's Global Standard for Professional Advancement. Appraisal Institute, Professionals Providing Real Estate Solutions.",Images/900x675-infoboxes/professional-real-estate-associations.gif
